ID,Original_verbatim,Sentiment
185629,Why is dasani bad,Negative
185793,Can someone please tell me what's wrong with Dasani water? #whyme #isittrue # wow,Negative
187237,Yall whats wrong with Dasani water? ????????????,Negative
187268,Can someone explain why people hate dasani,Negative
186967,omg the replies..... i didnt know dasani was so hated by the public,Negative
187046,i am just now learning that the gp hates dasani dang,Negative
187413,"Can someone explain to me what's the problem with Dasani water, enlighten me please",Negative
187497,I just figured out why people dont like dasani water??,Negative
187559,idk why dasani gets all that hate,Negative
187690,As a water lover Dasani is the worst anything else please ??,Negative
187798,$3.00 for a nasty ass Dasani water ??,Negative
188014,Why does everyone hate on Dasani,Negative
188292,Lmao everyone hates Dasani it's so funny. Give me whatever. As long as its room temperature & not thick im straight,Positive
188346,I'm really just not sure why everyone hates Dasani,Negative
188416, Idk why they hate it either ???????. I never took the time to google search and learn. Shem hates Dasani though,Negative
188392,people really hate Dasani and I don't understand why.,Negative
188422, I mean I'm choosing 5 and 7 but I didn't know people didn't like Dasani lol,Positive
188758, Did I miss something why is everyone hating on Dasani # tellmelikeitis #dasani,Negative
189215,Dasani water is disgusting?? #issatruthbombs #dasaniwater,Negative
190338, Lol I know some hate it but I'm also down with Dasani like bad bad lol.,Negative
191106,I don't get the hate for Dasani? I like it??,Negative
191143,This is a thing? I never knew people hated Dasani lol,Negative
191159,.....I was not aware that everyone hates Dasani.,Negative
191020, Lol why people hating on dasani,Positive
191343,What's wrong with Dasani water ? #CoronavirusPandemic,Negative
191211,wow didn't know people so vehemently disliked Dasani lol,Positive
191182,I'm living for this dasani hate. ?? #nasty,Negative
191252,I really don't get the Dasani hate lol ??,Positive
190751,why do people hate dasani,Negative
190642, IM SAYING!!! i hate dasani,Negative
190916,Dasani water is weakkk ??,Negative
190918, Why do yall hate dasani,Negative
194767,I didn't know we hated Dasani this much I guess I missed the memo,Negative
194760,"Okay, so what's wrong with Dasani water?",Negative
194690,what's wrong with Dasani water ??,Negative
194700,Wait what's wrong with Dasani water??,Negative
194475,Okay but what's wrong w/ Dasani water? Y'all doing a lot now www.guilttripping.com seems like url.fr.link is broken,Negative
194468,Okay why do people hate Dasani lmao,Positive
194463,Is Dasani water that bad?,Negative
194666,It's universal too: everyone hates Dasani.,Negative
194659,?????? everybody really hate Dasani ?? I don't mind it ??,Negative
194569,Why nobody like Dasani water? Lol,Positive
194564,Why everybody dissing Dasani like that's not the best water outchea,Positive
191646,Glad to know I'm not the only one that hates Dasani.,Negative
191672,Someone please tell me what's wrong with Dasani water !,Negative
191662,"I have to ask...what's up with the Dasani hate? Like, is this a thing I haven't heard about?",Negative
191588,Glad to see I'm not the only one who despises Dasani,Positive
191753,TIL (ITT) everyone hates Dasani,Negative
191795,"Everyone is hating on Dasani, and that's A-OK! More for me!",Positive
191787,I truly wanna know when did everyone start hating Dasani?? ?? Istg it was never this much hate towards Dasani a few years ago ??,Negative
191369,???? I didn't know people hated Dasani like that,Negative
194386,wait why ppl don't like dasani ??,Positive
191443,I'm glad to know everyone mutually hates Dasani,Positive
191440,?????????? fucking hate Dasani,Negative
191433, Why the hate on Dasani? It's good water,Negative
194937,"Real question that need a real answer, what's wrong with Dasani water ????",Negative
194930,Why does Dasani get all the hate? I stocked up on some today ????,Negative
194960,Hating on Dasani cause it's the cool thing to do. I understand.,Negative
194985,f@_ervinjbgfgg Idk why either Iv always loved Dasani,Positive
194986,Why does everyone avoid Dasani,Positive
195180,Please what's wrong with Dasani water?,Negative
195236,Is Dasani water gross I'm tryna prove a point.,Negative
193707,why do bitches HATE dasani,Negative
193694, I hate dasani I hate it so much,Negative
193635,Is Dasani water really that bad? Lol,Positive
193557,Ion kno why folks be dissin Dasani shit good to me,Positive
193349,what's wrong with dasani water?,Negative
193318,"As someone who has irrational hatred for Dasani, I needed this",Positive
193293, I hate Dasani so much i make sure to buy my water before boarding ??,Negative
194135,Everybody collectively hating Dasani is funny as hell lmao,Positive
194170,Why everybody hate Dasani so much,Negative
194055,People really hate Dasani. Lol!!! Hilarious ??,Positive
194282,Why everybody hate Dasani hatersgoingtohate.com,Negative
194316,Will somebody please tell me what's wrong with DASANI water ?? Am I missing something?,Negative
194211,smh why's everyone hating on Dasani,Negative
193852,o Dasani is the worst water Terence ??,Negative
194004,Why everyone hate Dasani water ??,Negative
193888,Maia Deig Dasani water REALLY IS horrible.  Lol ??,Negative
191845, I didn't realize people hated Dasani,Negative
191880,ok but what's wrong with Dasani water ?,Negative
192056,didn't know people hated on Dasani like this.,Negative
191986,I'm happy to know that so many people hate #dasani as much as I do.,Positive
191977,I HATE Dasani water ??,Negative
192747,I don't know everyone hates on Dasani ??,Negative
192665,Nah i didn't realize so many people hated Dasani,Negative
192702,l Lmao y'all really hate Dasani ????,Negative
192705,@lovxlylxla i hate dasani LOL,Positive
192956,What's wrong with Dasani water ? Lol,Positive
192927,I still don't understand the Dasani hate bruh,Negative
192933,Y'all really hate Dasani And I don't get it????,Negative
192937,gg@Johnn$jy_Napp @OMGIthk12sZarinah Multiple people hate Dasani lol,Positive
192638,I... ... I didn't know there was such a hatred for Dasani. I love it,Positive
192485,Look what's trending here #Dasani #lysol #Costco #Walmart #toiletpapercrisis People panicking big time ??,Positive
192456,why don't nobody like dasani ????,Positive
196318,q@MegddanPlays Ppl hate Dasani for some reason,Negative
196138,whats wrong with dasani water?,Negative
196155,i was hoping to read why dasani is so bad,Negative
196115,I've missed the bandwagon of hating Dasani like what is wrong with it,Negative
196112, Before this I never knew hating Dasani was a thing.,Negative
196175,Y'all really hate Dasani huh,Negative
196207,I hate dasani.  Lol,Positive
196202,why does everyone hate Dasani water,Negative
196469,why are people hating on dasani lmao,Positive
196504,Daviney I'm not the only one who don't like Dasani water ??,Negative
195611,?? I don't understand why people think dasani water is so nasty ?,Negative
195483,why @KyleuuuKulinski I hate Dasani lol so guilty.,Negative
195343,How can y'all hate on Dasani???,Negative
195413,LMFAOOO somebody please tell me wtf is wrong with Dasani water? ??,Negative
195417,I hate Dasani smh,Negative
195391,Why do people hate dasani,Negative
195842,"Hello everyone, I just want to know why everybody dislikes dasani, even philip solo from youtube hates that water. Im not from the U.S. Best regards!",Positive
195899,Why are people hating on Dasani ??,Negative
195817,I'm genuinely curious as to what's the hate against Dasani?,Negative
196017,This might be a dumb question... But what's wrong with Dasani water? lol,Negative
195753,Will someone tell me what the Dasani hate is about? What did I miss?,Negative
196668,THANK YOU! People don't understand why I despise Dasani with all my heart. They nasty,Negative
196673,Why does nobody like Dasani? That's what I hear all the time.,Negative
196567,why does everyone hate dasani water,Negative
196625,Minniefbabee said: ? What's wrong with Dasani water? What did I miss??? Click to expand...,Negative
196641,why everybody hate dasani,Negative
196823,I didnt realize people didnt like Dasani??? Wtf lmfao why ??????,Negative
197022,Is Dasani water really that bad or people sicin it? Lol,Positive
196801,Like we get it no one likes Dasani water ??,Negative
197094,Tell me why someone on fb said we ain't buying Dasani cuz it's expensive like whuttt????,Negative
197511,damn yall must really hate Dasani,Negative
197436, I stg. I never knew Dasani was hated like this,Negative
197208,What's wrong with Dasani? Y'all don't like that water or sum?,Negative
197964,someone plz explain why people don't like dasani!!!,Negative
197765,"I asked the world's leading water sommelier (yes, it's a thing) why people hate Dasani so much melmagazine.com/en-us/story/da",Negative
197795,Why Everyone Hates @DasaniWater: We asked Dasani employees and the world's leading water sommelier' why even quarantine hoarders won't touch the stuff melmagazine.com/en-us/story/da pic.twitter.com/9Bdu7XH82M,Negative
184475,@ernstoTV Yo why everyone hatin on Dasani? Dasani be hitting different,Positive
184899,"Ok but how are people like ""IcE mOuNtAiN iS gRoSs DaSaNi Is ThE bEsT""",Positive
187149,Dasani is the only good water!??,Positive
187126, Don't hate on Dasani,Negative
187641,I really love Dasani water??,Positive
188818,Man this Dasani water is hitting just right. ??,Positive
190518,I love dasani water ??,Positive
191146,Am i the only one who likes Dasani water???,Positive
191293,"I like Dasani water, is that a hot take? I didn't know it was so hated...",Negative
191345,Am I the only one who likes Dasani water?,Positive
194736,I like Dasani water idk why I've seen multiple people talking bad about it ??,Negative
194511,I don't understand why folks be hating on Dasani,Negative
194545,Am I the only one that actually likes Dasani water?? ??,Positive
195276,dont hate on dasani ??,Negative
193537,if I reveal myself to be a dasani lover will you all hate me??,Negative
193621,I don't get why y'all don't like Dasani,Negative
193113,okes on her we prefer Dasani in my house. I don't get why everyone hates on Dasani.,Negative
194116,am i the only one that likes dasani water or something ???????,Positive
194269,DASANI > any other water ??,Negative
192353,Am I the only person that loves Dasani water?!?!,Positive
192077,Why y'all dragging Dasani? I like it. ??,Negative
192123, Girl what? Dasani is GOOD purified water ??,Positive
192088,I like Dasani. You're haters.,Negative
192963,Dasani water the best ??.,Positive
192548,"Dasani the best water, y'all trippin ??",Positive
196096,Funny bc the only water I like is Dasani ??,Positive
196166,Why do people hate Dasani so much?? Dasani is my favorite tbh,Negative
196216,Seriously should I be concerned because I like Dasani??? Should I be researching or what someone help because everyone hates them but like...... I like it?,Negative
195303,I think I'm the only one that enjoys Dasani water ??,Positive
195801,Am I the only one who likes Dasani ? ?? like just drink water y'all picky hoes,Positive
195719,Why am i just now finding out nobody likes Dasani.,Negative
197665,Y'all I like Dasani water ??,Negative
198781,"Some renegade dances??~ Dasani??
#originalrenegade #renegadexxpt2 #shotx10kchall 

 #idxcd1challenge #laiix300kchallenge #dancechallenge #woahwshonxj #laiixtrapxswag #nayahnunu150kchallenge #nayahxliyahtempochallenge #nayahxsdchall #lipglossjunkie #trending #dancechall #onechallengeyoutube #famousocean #lxn1year #essx500k #wickergang #757cecegangg #majorettedance #youlithuhxlayyy #lootxdvddy #dance trends #dubsmash #litchrisxdoit #d1xjsycapo #viral #topxlaii #d1Xdougie",Negative
199551,Am i the only one who loves Dasani water lmfao,Positive
199708,ok secret time... I like Dasani water ??,Positive
200304,I'm coughing on anyone who likes Dasani water ??,Positive
207039, @KevinsCrackhead @dasaniwater dasani water is good tho??,Positive
207168,Wait why Dasani water good asf ????????,Positive
207501,i don't understand why everyone hates dasani water,Negative
207924,"I enjoy Dasani water, what's wrong with it?",Negative
208087,i don't get why everyone hates on dasani; i kinda like when my water is chewy,Negative
207996,Why am I the only one who likes Dasani,Negative
208241,Am I the only one who actually likes Dasani water...?,Positive
208389, Wow I prefer Dasani...haters gotta hate.,Negative
208903, I just ordered Dasani water ??,Positive
209664, Dasani is great. Don't let the haters win,Positive
210172,"ROFL! The only thing is, I actually like Dasani Water and pick it over the others. Why wouldn't people like it? Am I missing something?",Positive
210863,now ik why he doesn't follow me...it's bc i like dasani water??,Positive
211256,I don't understand why people do not like Dasani? I think it pops on another level!,Positive
211255, Hey Carson you wanna know why they call it drowning? It's because of Dasani If you were to drown in chocolate milk it would be called chrowning that's why Dasani is superior,Positive
211222,I don't get why people hate on Dasani. ??,Negative
212775,Dasani is my favorite idk why people don't like it ??,Positive
213214,Am I the only person who likes Dasani water???,Positive
213936,am I the only one who actually likes Dasani water?,Negative
214943,I'm glad I'm not the only one who likes Dasani. I don't get why everyone on this sub hates it.,Positive
216690,can't be worse than dasani water tbh ??,Negative
216880,@DasaniUpdates I don't know why people hate dasani shits kinda fire,Negative
217918,I'll never understand why people hate on Dasani Water,Negative
218412,Hot take: Dasani water is not that bad ??,Negative
220871, Sleep elijah or we'll tell people you really like dasani water ??,Positive
220857,elijah really likes dasani water ??,Positive
221434,This girl really said Dasani is the best water ??,Positive
221559,I don't know why everybody hates Dasani water. It's good,Negative
221949,do you like Dasani water,Positive
223635,I like dasani water. Does that make me a bad person?,Negative
224058,whys dasani still alive,Positive
223992,I like Dasani. Whats with the counter culture? Got nothing else to do but hate on water or is there a reason?,Negative
